epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.8648,0.46202,2.96354,0.8928,1,0.54663,0.99324,0.87594,0.28671,2.54756,0.90396,0.0002,0.0002,0.0002
2,75.3228,0.36265,1.35985,0.89937,1,0.85122,0.995,0.91943,0.40577,2.35751,0.96522,0.000336828,0.000336828,0.000336828
3,112.942,0.36428,0.94059,0.87447,1,0.97482,0.995,0.92154,0.4682,2.10882,1.10766,0.000386524,0.000386524,0.000386524
4,150.084,0.33436,0.90479,0.87625,0.99439,1,0.995,0.96075,0.22456,1.82698,0.84638,0.000349088,0.000349088,0.000349088
5,187.257,0.29201,0.8675,0.86653,0.99473,1,0.995,0.98259,0.23527,2.01626,0.85307,0.000224519,0.000224519,0.000224519
