epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.0301,0.45547,2.92415,0.80977,1,0.56357,0.995,0.87627,0.27958,2.50702,0.7857,0.0002,0.0002,0.0002
2,76.2382,0.37033,1.20519,0.80929,1,0.9406,0.995,0.92842,0.36237,2.26645,0.84775,0.000336856,0.000336856,0.000336856
3,114.388,0.3469,0.90545,0.80068,0.98422,1,0.995,0.94169,0.30066,2.17361,0.84648,0.000386609,0.000386609,0.000386609
4,151.982,0.31437,0.86955,0.79829,0.99128,1,0.995,0.93027,0.29878,1.81964,0.80577,0.000349258,0.000349258,0.000349258
5,189.261,0.24655,0.82033,0.78162,0.9965,1,0.995,0.97534,0.24761,1.41936,0.81354,0.000224804,0.000224804,0.000224804
