epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.7493,0.47709,2.1561,0.78019,1,0.56517,0.995,0.89564,0.23338,2.45032,0.70154,0.0002,0.0002,0.0002
2,83.9748,0.38733,1.17168,0.73369,1,0.96452,0.995,0.91487,0.30273,2.07017,0.70822,0.000336922,0.000336922,0.000336922
3,127.675,0.36687,1.00271,0.70568,1,0.99871,0.995,0.92276,0.24909,2.12262,0.72792,0.000386811,0.000386811,0.000386811
4,171.007,0.33676,0.84712,0.69238,0.99734,1,0.995,0.92378,0.30691,1.69781,0.72438,0.000349666,0.000349666,0.000349666
5,219.166,0.2777,0.84211,0.68088,0.99363,1,0.995,0.96837,0.19685,1.74027,0.66759,0.000225487,0.000225487,0.000225487
