epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.2408,0.4749,1.54425,1.30443,1,0.95904,0.99457,0.86186,0.39331,1.68831,1.31903,0.00028,0.00028,0.00028
2,108.531,0.32609,0.87656,1.1462,0.97336,0.98551,0.99345,0.87918,0.35324,1.60027,1.28121,0.000465447,0.000465447,0.000465447
3,162.158,0.30372,0.7493,1.13887,0.95603,0.94538,0.99095,0.92493,0.3322,1.46855,1.18812,0.000532389,0.000532389,0.000532389
4,215.767,0.26022,0.6393,1.12865,0.99149,0.98551,0.99486,0.93403,0.2832,1.33542,1.16461,0.000480829,0.000480829,0.000480829
5,269.405,0.2361,0.61821,1.09715,1,0.99738,0.995,0.97348,0.26272,1.15112,1.12114,0.000310764,0.000310764,0.000310764
