epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.1585,0.51511,3.40558,0.84559,1,0.48506,0.97899,0.88833,0.30097,3.01379,0.87585,0.0002,0.0002,0.0002
2,81.7788,0.35132,2.71423,0.77359,1,0.80908,0.995,0.93631,0.34081,2.79488,0.85954,0.000336867,0.000336867,0.000336867
3,122.674,0.41467,1.1346,0.84886,1,0.91502,0.995,0.92168,0.43076,2.71089,0.94459,0.000386642,0.000386642,0.000386642
4,160.535,0.37396,1.108,0.84,0.98972,1,0.995,0.94779,0.28135,2.11627,0.82657,0.000349325,0.000349325,0.000349325
5,198.262,0.33813,1.04405,0.83109,0.99371,1,0.995,0.95273,0.32114,2.16266,0.85392,0.000224916,0.000224916,0.000224916
