epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,2392.3,0.19212,0.24613,0.85992,0.9991,1,0.995,0.995,0.13308,0.17424,0.81493,0.00093575,0.00093575,0.00093575
45,2448.7,0.19289,0.23863,0.84048,0.99915,1,0.995,0.995,0.13799,0.17759,0.81678,0.000911,0.000911,0.000911
46,2505.74,0.19019,0.23807,0.84362,0.99917,1,0.995,0.995,0.12753,0.16639,0.8121,0.00088625,0.00088625,0.00088625
47,2562.23,0.17093,0.22424,0.85131,0.99921,1,0.995,0.995,0.12342,0.16147,0.81482,0.0008615,0.0008615,0.0008615
48,2618.15,0.16648,0.20375,0.83797,0.99924,1,0.995,0.995,0.12713,0.16725,0.81202,0.00083675,0.00083675,0.00083675
49,2674.48,0.16885,0.20856,0.84508,0.99922,1,0.995,0.995,0.12227,0.1749,0.80939,0.000812,0.000812,0.000812
50,2732.04,0.17351,0.22295,0.83337,0.99914,1,0.995,0.995,0.12538,0.17341,0.81064,0.00078725,0.00078725,0.00078725
51,2788.38,0.17003,0.21442,0.84579,0.99878,1,0.995,0.995,0.13739,0.17783,0.80767,0.0007625,0.0007625,0.0007625
52,2844.91,0.17014,0.20407,0.83608,0.99922,1,0.995,0.995,0.13012,0.16612,0.80651,0.00073775,0.00073775,0.00073775
53,2902.91,0.16549,0.21098,0.83973,0.99919,1,0.995,0.995,0.11713,0.16427,0.80808,0.000713,0.000713,0.000713
54,2958.04,0.16121,0.20535,0.83631,0.99917,1,0.995,0.995,0.10126,0.15012,0.80671,0.00068825,0.00068825,0.00068825
55,3013.23,0.15488,0.1964,0.85175,0.99917,1,0.995,0.995,0.1065,0.14338,0.80416,0.0006635,0.0006635,0.0006635
56,3068.91,0.15731,0.19416,0.84396,0.99922,1,0.995,0.995,0.12071,0.14686,0.80587,0.00063875,0.00063875,0.00063875
57,3124.73,0.1678,0.21179,0.84032,0.9992,1,0.995,0.995,0.11235,0.15438,0.80659,0.000614,0.000614,0.000614
58,3180.15,0.1375,0.18717,0.84116,0.99919,1,0.995,0.995,0.10734,0.14628,0.80771,0.00058925,0.00058925,0.00058925
59,3235.28,0.14091,0.19222,0.85207,0.99923,1,0.995,0.995,0.09559,0.13684,0.80372,0.0005645,0.0005645,0.0005645
60,3291,0.14763,0.18703,0.82919,0.99922,1,0.995,0.995,0.09337,0.12173,0.80398,0.00053975,0.00053975,0.00053975
61,3347.02,0.1381,0.18104,0.82956,0.99919,1,0.995,0.995,0.10484,0.12893,0.80402,0.000515,0.000515,0.000515
62,3403.99,0.14111,0.17945,0.83376,0.99923,1,0.995,0.995,0.09583,0.12885,0.80405,0.00049025,0.00049025,0.00049025
63,3459.79,0.1406,0.19242,0.84304,0.99921,1,0.995,0.995,0.08661,0.11686,0.80269,0.0004655,0.0004655,0.0004655
64,3515.07,0.13883,0.18387,0.83796,0.99922,1,0.995,0.995,0.09662,0.12906,0.80647,0.00044075,0.00044075,0.00044075
65,3570.43,0.13768,0.17806,0.83507,0.99922,1,0.995,0.995,0.09572,0.12614,0.80536,0.000416,0.000416,0.000416
66,3625.73,0.12705,0.15373,0.83827,0.99925,1,0.995,0.995,0.09722,0.13564,0.80431,0.00039125,0.00039125,0.00039125
67,3680.91,0.13935,0.16958,0.83491,0.99924,1,0.995,0.995,0.09488,0.12677,0.80341,0.0003665,0.0003665,0.0003665
68,3736.62,0.12949,0.16981,0.8364,0.99925,1,0.995,0.995,0.08148,0.11684,0.80275,0.00034175,0.00034175,0.00034175
69,3791.39,0.12125,0.16796,0.83822,0.99924,1,0.995,0.995,0.07701,0.10917,0.8016,0.000317,0.000317,0.000317
70,3845.92,0.11989,0.17539,0.83549,0.99923,1,0.995,0.995,0.08709,0.11696,0.80016,0.00029225,0.00029225,0.00029225
71,3900.5,0.10314,0.13784,0.81022,0.99924,1,0.995,0.995,0.07602,0.12096,0.80165,0.0002675,0.0002675,0.0002675
72,3954.6,0.10019,0.13129,0.80918,0.99924,1,0.995,0.995,0.0813,0.13427,0.80321,0.00024275,0.00024275,0.00024275
73,4008.82,0.10369,0.13372,0.80212,0.99924,1,0.995,0.995,0.08155,0.1279,0.80295,0.000218,0.000218,0.000218
74,4063.05,0.09911,0.1221,0.8111,0.99921,1,0.995,0.995,0.086,0.11984,0.80633,0.00019325,0.00019325,0.00019325
75,4117.27,0.10327,0.12339,0.80398,0.9992,1,0.995,0.995,0.0802,0.1288,0.80299,0.0001685,0.0001685,0.0001685
76,4171.52,0.09696,0.11981,0.79319,0.99924,1,0.995,0.995,0.08651,0.12707,0.80274,0.00014375,0.00014375,0.00014375
77,4225.71,0.09838,0.12047,0.79758,0.99925,1,0.995,0.995,0.07254,0.12401,0.80181,0.000119,0.000119,0.000119
78,4279.96,0.09539,0.12174,0.79675,0.99925,1,0.995,0.995,0.07235,0.12,0.80217,9.425e-05,9.425e-05,9.425e-05
79,4334.34,0.09362,0.11953,0.81335,0.99925,1,0.995,0.995,0.07572,0.12348,0.80184,6.95e-05,6.95e-05,6.95e-05
80,4387.86,0.08687,0.11101,0.7941,0.99925,1,0.995,0.995,0.07554,0.12112,0.80012,4.475e-05,4.475e-05,4.475e-05
