epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.2102,0.47701,3.11301,0.83895,1,0.53607,0.995,0.88785,0.26528,2.60866,0.83502,0.0002,0.0002,0.0002
2,91.2477,0.39776,1.23098,0.84148,1,0.9696,0.995,0.91815,0.39247,2.33665,0.93018,0.00033684,0.00033684,0.00033684
3,134.146,0.3504,0.94551,0.82951,0.99472,1,0.995,0.92774,0.35381,1.9439,0.88194,0.00038656,0.00038656,0.00038656
4,176.662,0.31875,0.89953,0.82303,0.99488,1,0.995,0.95121,0.34103,1.81866,0.94196,0.00034916,0.00034916,0.00034916
5,214.086,0.26219,0.85313,0.81997,0.99606,1,0.995,0.98631,0.20071,1.87407,0.81258,0.00022464,0.00022464,0.00022464
