epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.4081,0.44993,1.71787,1.1803,0.96819,0.88217,0.98804,0.87836,0.32601,1.75183,1.15255,0.00028,0.00028,0.00028
2,112.198,0.30758,0.95846,1.0548,1,0.86508,0.99386,0.89892,0.32072,2.01049,1.08782,0.000465292,0.000465292,0.000465292
3,168.075,0.26808,0.81307,1.04869,0.99373,1,0.995,0.91363,0.30223,1.82315,1.03547,0.000531921,0.000531921,0.000531921
4,223.161,0.24281,0.75822,1.00218,1,0.99779,0.995,0.95461,0.24635,1.58397,1.03929,0.000479887,0.000479887,0.000479887
5,278.446,0.21153,0.691,1.01156,0.99874,1,0.995,0.98303,0.17674,1.22425,0.97085,0.00030919,0.00030919,0.00030919
