epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.2446,0.50137,1.99989,0.97368,1,0.60804,0.98965,0.84512,0.27373,2.19026,0.88459,0.0002,0.0002,0.0002
2,77.0496,0.42634,1.03947,0.90561,1,0.90517,0.995,0.94734,0.2636,2.10715,0.92668,0.00033684,0.00033684,0.00033684
3,114.596,0.37446,0.92896,0.89926,1,0.95912,0.99329,0.90074,0.31349,1.99853,0.9285,0.00038656,0.00038656,0.00038656
4,151.665,0.31264,0.79606,0.8773,0.9971,1,0.995,0.93422,0.3175,1.61257,0.88926,0.00034916,0.00034916,0.00034916
5,189.341,0.2747,0.69619,0.85869,0.99782,1,0.995,0.92897,0.25809,1.64054,0.85211,0.00022464,0.00022464,0.00022464
