epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.9014,0.49748,1.76692,1.2953,1,0.49856,0.99472,0.89639,0.33259,2.10368,1.20243,0.00028,0.00028,0.00028
2,110.455,0.29277,0.97194,1.14642,0.98563,0.99398,0.99257,0.9185,0.33299,1.81779,1.25122,0.000465326,0.000465326,0.000465326
3,164.603,0.29086,0.78808,1.13246,0.99709,1,0.995,0.93214,0.31673,1.51977,1.16813,0.000532023,0.000532023,0.000532023
4,218.734,0.26618,0.69269,1.12875,1,0.9665,0.9943,0.96085,0.25339,1.47452,1.08076,0.000480092,0.000480092,0.000480092
5,273.063,0.22821,0.66065,1.09486,0.99871,1,0.995,0.98177,0.22515,1.26849,1.08769,0.000309533,0.000309533,0.000309533
