epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.4568,0.50275,2.29431,0.78103,1,0.7238,0.99235,0.88142,0.30196,2.58802,0.70763,0.0002,0.0002,0.0002
2,75.8929,0.43731,1.28774,0.68876,1,0.72775,0.98714,0.923,0.34491,2.63606,0.7222,0.000336613,0.000336613,0.000336613
3,113.663,0.34514,1.08936,0.67716,1,0.72577,0.98253,0.91778,0.37181,2.653,0.77121,0.000385869,0.000385869,0.000385869
4,151.086,0.33916,1.02835,0.66113,0.99652,1,0.995,0.93864,0.26496,2.16751,0.67765,0.000347767,0.000347767,0.000347767
5,189.064,0.30178,0.93348,0.67135,0.99667,1,0.995,0.98573,0.1959,2.07068,0.65965,0.000222307,0.000222307,0.000222307
