epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.0197,0.3718,2.95895,0.90957,1,0.68694,0.995,0.86547,0.21861,2.50409,0.90211,0.0002,0.0002,0.0002
2,75.3753,0.3064,1.3436,0.92718,1,0.98164,0.995,0.92477,0.29516,2.24428,0.9819,0.000336961,0.000336961,0.000336961
3,112.892,0.33027,0.99487,0.92012,1,0.923,0.995,0.93078,0.2327,2.2614,0.90676,0.000386929,0.000386929,0.000386929
4,150.076,0.28469,0.92593,0.90634,1,0.99953,0.995,0.95073,0.22142,2.02056,0.8765,0.000349903,0.000349903,0.000349903
5,187.405,0.24079,0.88205,0.89168,0.99637,1,0.995,0.96722,0.19724,1.75397,0.86852,0.000225884,0.000225884,0.000225884
