epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.4802,0.4261,1.73975,1.3078,1,0.44796,0.995,0.93824,0.28527,2.05559,1.16155,0.00028,0.00028,0.00028
2,110.169,0.29152,0.8708,1.16135,1,0.99569,0.995,0.94484,0.26772,1.75521,1.1791,0.000465673,0.000465673,0.000465673
3,165.076,0.24799,0.80993,1.1426,0.99178,1,0.995,0.91698,0.31278,1.72398,1.24052,0.000533076,0.000533076,0.000533076
4,219.6,0.2552,0.70663,1.13787,0.9959,1,0.995,0.95724,0.22477,1.29633,1.14016,0.000482209,0.000482209,0.000482209
5,273.558,0.21991,0.66374,1.11423,1,0.99989,0.995,0.98091,0.17423,1.14771,1.09725,0.000313073,0.000313073,0.000313073
