epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.9582,0.55865,2.72572,0.92077,1,0.60534,0.99412,0.85406,0.35343,2.92309,0.8393,0.0002,0.0002,0.0002
2,160.249,0.51804,1.29375,0.85123,1,0.72529,0.98977,0.92259,0.42937,2.94147,0.99878,0.000336848,0.000336848,0.000336848
3,204.377,0.35388,2.32492,0.7508,1,0.99688,0.995,0.91012,0.4488,2.2934,1.02146,0.000386583,0.000386583,0.000386583
4,242.942,0.38824,1.10377,0.8391,0.99305,1,0.995,0.97197,0.22684,2.16269,0.79417,0.000349206,0.000349206,0.000349206
5,281.933,0.33661,0.99911,0.82668,0.9977,1,0.995,0.96872,0.26485,1.74513,0.82004,0.000224718,0.000224718,0.000224718
