epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.4472,0.56452,1.6404,1.07425,0.97869,0.97101,0.99252,0.89697,0.34375,1.77064,0.98213,0.00028,0.00028,0.00028
2,108.59,0.35951,0.91533,0.93807,0.99128,0.94203,0.99205,0.9306,0.32689,1.65117,0.9711,0.000465424,0.000465424,0.000465424
3,162.696,0.36947,0.76947,0.94369,0.99415,0.95652,0.9774,0.92372,0.32987,1.65094,0.93415,0.000532323,0.000532323,0.000532323
4,216.609,0.2899,0.6679,0.9227,0.99415,0.97101,0.99345,0.97392,0.23577,1.31545,0.92181,0.000480694,0.000480694,0.000480694
5,270.688,0.27671,0.62741,0.90785,0.99814,1,0.995,0.98113,0.24756,1.13309,0.90481,0.00031054,0.00031054,0.00031054
