epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.2252,0.49339,1.74257,1.0889,1,0.7375,0.99402,0.89476,0.32014,1.92862,1.01266,0.00028,0.00028,0.00028
2,109.071,0.32705,0.95584,0.97706,0.96192,0.91304,0.9896,0.90379,0.34102,1.95882,1.0457,0.000465291,0.000465291,0.000465291
3,162.868,0.26927,0.79524,0.96504,0.98527,0.96913,0.99335,0.95075,0.25721,1.47387,0.9578,0.000531918,0.000531918,0.000531918
4,216.897,0.26006,0.76074,0.93172,0.99941,0.98551,0.99363,0.95814,0.24048,1.38456,0.96573,0.00047988,0.00047988,0.00047988
5,271.176,0.22445,0.71021,0.92995,0.99796,1,0.995,0.98231,0.21661,1.3571,0.92806,0.000309178,0.000309178,0.000309178
