epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.0102,0.49505,3.46752,1.17029,1,0.5142,0.95286,0.84985,0.21518,3.09658,1.15702,0.0002,0.0002,0.0002
2,75.8129,0.36988,2.65741,1.06311,1,0.61131,0.995,0.91697,0.35068,2.94464,1.22518,0.000336782,0.000336782,0.000336782
3,113.423,0.3796,1.14423,1.14829,1,0.9943,0.995,0.88548,0.46092,2.56348,1.38116,0.000386383,0.000386383,0.000386383
4,150.491,0.37716,1.08385,1.14925,0.99563,1,0.995,0.98358,0.25411,2.22395,1.17807,0.000348804,0.000348804,0.000348804
5,187.878,0.34824,1.04452,1.158,0.99369,1,0.995,0.97365,0.28752,2.14851,1.23027,0.000224044,0.000224044,0.000224044
