epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.9823,0.46642,1.71185,1.28495,1,0.75598,0.9927,0.91879,0.27479,2.00992,1.18191,0.00028,0.00028,0.00028
2,109.657,0.34089,0.97432,1.13436,1,0.61593,0.97322,0.8903,0.33958,2.09902,1.229,0.000465369,0.000465369,0.000465369
3,164.395,0.29252,0.79425,1.12694,0.97057,0.95599,0.98904,0.91196,0.33764,1.46843,1.20827,0.000532154,0.000532154,0.000532154
4,219.035,0.26493,0.7134,1.11537,0.9977,0.98551,0.99472,0.97909,0.22714,1.39042,1.10642,0.000480354,0.000480354,0.000480354
5,273.326,0.2344,0.63024,1.09053,0.99918,1,0.995,0.99152,0.18917,1.24791,1.08088,0.000309971,0.000309971,0.000309971
