epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.1049,0.50606,2.1933,1.06819,1,0.68677,0.9925,0.82992,0.32039,2.47804,0.99376,0.0002,0.0002,0.0002
2,75.0467,0.34305,1.061,0.92735,1,0.94768,0.995,0.92951,0.41385,2.36341,1.21257,0.000336788,0.000336788,0.000336788
3,112.555,0.33316,0.91943,0.95561,1,0.96117,0.995,0.91826,0.35095,2.15679,1.0069,0.000386401,0.000386401,0.000386401
4,149.61,0.31539,0.90055,0.93402,0.99594,1,0.995,0.9642,0.22677,2.0425,0.91763,0.00034884,0.00034884,0.00034884
5,186.756,0.28124,0.80885,0.92476,0.99519,1,0.995,0.96232,0.20003,1.55779,0.90148,0.000224104,0.000224104,0.000224104
