epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.244,0.50751,2.30549,0.97118,1,0.49779,0.99235,0.92323,0.23217,2.57834,0.86438,0.0002,0.0002,0.0002
2,85.1145,0.40672,1.11634,0.90201,1,0.92796,0.995,0.93988,0.36642,2.36168,0.92602,0.00033684,0.00033684,0.00033684
3,124.953,0.31182,2.20949,0.78005,1,0.98709,0.995,0.92285,0.39203,2.26054,0.93345,0.00038656,0.00038656,0.00038656
4,164.231,0.37112,0.94428,0.87003,0.99415,1,0.995,0.97939,0.28429,2.03466,0.85409,0.00034916,0.00034916,0.00034916
5,203.843,0.27084,0.82475,0.86262,0.99602,1,0.995,0.99128,0.19956,1.63528,0.84163,0.00022464,0.00022464,0.00022464
