epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.9516,0.56936,2.26978,1.02508,1,0.58919,0.995,0.9037,0.27217,2.52265,0.90097,0.0002,0.0002,0.0002
2,74.8987,0.37991,1.24247,0.91587,0.99441,1,0.995,0.94406,0.38593,2.23503,0.94193,0.00033684,0.00033684,0.00033684
3,112.096,0.33157,1.03546,0.87611,1,0.99681,0.995,0.91503,0.29397,2.26981,0.89796,0.00038656,0.00038656,0.00038656
4,149.337,0.32775,0.86368,0.86491,1,0.99877,0.995,0.96884,0.24324,1.66467,0.86571,0.00034916,0.00034916,0.00034916
5,186.605,0.28255,0.83954,0.87739,0.99724,1,0.995,0.98366,0.21797,1.63467,0.84658,0.00022464,0.00022464,0.00022464
