epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.2993,0.46682,1.83688,1.1594,1,0.64824,0.98292,0.87759,0.31451,2.21768,1.09202,0.00028,0.00028,0.00028
2,112.631,0.30923,0.93624,1.04247,0.97044,0.95172,0.99073,0.92696,0.33621,1.975,1.12279,0.000465419,0.000465419,0.000465419
3,168.011,0.30281,0.85835,1.02927,0.82982,0.86957,0.93856,0.79432,0.3343,2.12349,1.1181,0.000532305,0.000532305,0.000532305
4,225.894,0.24801,0.79935,1.00992,0.93178,0.98974,0.99216,0.91015,0.32478,1.77555,1.08524,0.000480659,0.000480659,0.000480659
5,280.736,0.25548,0.72402,1.0043,0.99786,1,0.995,0.98379,0.21312,1.24461,0.9967,0.00031048,0.00031048,0.00031048
