epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.7365,0.48272,1.76851,1.35922,1,0.28252,0.99331,0.85685,0.35187,2.18759,1.26565,0.00028,0.00028,0.00028
2,108.825,0.35106,0.9107,1.23173,1,0.85264,0.99302,0.92603,0.3358,2.04457,1.28397,0.000465344,0.000465344,0.000465344
3,162.524,0.297,0.77793,1.18041,0.98523,0.96646,0.99225,0.94151,0.31336,1.79039,1.2348,0.00053208,0.00053208,0.00053208
4,216.215,0.28546,0.66834,1.1615,0.9796,1,0.99471,0.97336,0.27175,1.52943,1.1618,0.000480206,0.000480206,0.000480206
5,270.128,0.26893,0.64529,1.17285,0.99937,1,0.995,0.9892,0.2043,0.99857,1.13652,0.000309723,0.000309723,0.000309723
