epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.4029,0.50795,3.13309,0.88451,1,0.57835,0.99324,0.89587,0.36552,2.61394,0.90822,0.0002,0.0002,0.0002
2,76.1427,0.36983,1.43217,0.86346,1,0.92132,0.995,0.95455,0.34735,2.41023,0.99182,0.000336786,0.000336786,0.000336786
3,113.438,0.42073,0.96744,0.87714,0.9984,1,0.995,0.93507,0.35184,2.20099,0.99534,0.000386396,0.000386396,0.000386396
4,150.709,0.37441,0.91802,0.87058,0.99303,1,0.995,0.94737,0.32184,2.37203,0.87612,0.00034883,0.00034883,0.00034883
5,188.113,0.33399,0.87063,0.86183,0.99014,1,0.995,0.98654,0.27017,1.76358,0.88131,0.000224087,0.000224087,0.000224087
