epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.8004,0.45805,1.7317,1.28644,1,0.92461,0.99414,0.92398,0.29202,1.85638,1.26524,0.00028,0.00028,0.00028
2,108.588,0.32799,0.97462,1.12454,1,0.85665,0.99116,0.9224,0.29479,2.02409,1.19763,0.000465363,0.000465363,0.000465363
3,163.18,0.29181,0.79004,1.13111,0.97131,0.98149,0.99355,0.91491,0.34071,1.70676,1.19982,0.000532136,0.000532136,0.000532136
4,217.576,0.25674,0.69456,1.12738,1,0.98459,0.995,0.96285,0.23694,1.48779,1.12252,0.000480319,0.000480319,0.000480319
5,271.476,0.21791,0.63614,1.08721,1,0.9994,0.995,0.98913,0.18862,1.1137,1.0765,0.000309912,0.000309912,0.000309912
