epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.8293,0.44878,1.78692,1.14104,0.9793,0.92754,0.98917,0.88983,0.3265,1.85837,1.11036,0.00028,0.00028,0.00028
2,110.968,0.28146,0.98273,1.04399,0.99491,1,0.995,0.94201,0.27618,1.96583,1.04127,0.000465673,0.000465673,0.000465673
3,166.416,0.2835,0.85182,1.03429,0.98431,0.90939,0.98792,0.92603,0.30271,1.92286,1.03829,0.000533076,0.000533076,0.000533076
4,221.415,0.24629,0.76578,1.01741,0.97164,0.99314,0.99457,0.94467,0.24925,1.60968,1.02506,0.000482209,0.000482209,0.000482209
5,276.524,0.22308,0.70939,1.00734,0.99882,1,0.995,0.98625,0.19183,1.28372,0.98192,0.000313073,0.000313073,0.000313073
