epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.5024,0.47273,1.73004,1.07872,1,0.81359,0.99432,0.92895,0.26438,1.99715,0.98226,0.00028,0.00028,0.00028
2,110.984,0.31267,0.94886,0.97293,0.98423,0.90452,0.98695,0.90855,0.36796,2.06832,1.11233,0.000465292,0.000465292,0.000465292
3,166.111,0.28511,0.82961,0.96589,1,0.99845,0.995,0.9452,0.30696,1.51308,0.96359,0.000531921,0.000531921,0.000531921
4,220.908,0.25416,0.75103,0.94788,1,0.98547,0.99486,0.96367,0.26905,1.2293,0.93462,0.000479887,0.000479887,0.000479887
5,276.159,0.25509,0.72294,0.92813,1,0.99881,0.995,0.99028,0.18481,1.36054,0.90979,0.00030919,0.00030919,0.00030919
