epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.274,0.46501,1.98945,0.77084,1,0.69237,0.99147,0.86797,0.24351,2.2777,0.69453,0.0002,0.0002,0.0002
2,75.2792,0.35737,1.11682,0.69865,1,0.7942,0.995,0.966,0.26664,2.25699,0.73503,0.000336632,0.000336632,0.000336632
3,112.574,0.31986,0.98771,0.69557,0.97021,1,0.995,0.92865,0.26655,1.99987,0.69673,0.000385925,0.000385925,0.000385925
4,149.641,0.27428,0.86376,0.65128,0.99533,1,0.995,0.94791,0.2271,1.58577,0.65793,0.00034788,0.00034788,0.00034788
5,186.989,0.26463,0.83406,0.67339,0.99532,1,0.995,0.97684,0.20789,1.62706,0.68007,0.000222497,0.000222497,0.000222497
