epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.7089,0.43417,2.03089,0.89166,1,0.60724,0.99412,0.8426,0.263,2.29088,0.81263,0.0002,0.0002,0.0002
2,75.2219,0.3723,1.07127,0.82021,1,0.9164,0.995,0.94956,0.3253,2.18,0.90073,0.00033684,0.00033684,0.00033684
3,114.743,0.33676,0.91711,0.80341,0.9955,1,0.995,0.94346,0.25071,1.94992,0.78234,0.00038656,0.00038656,0.00038656
4,152.154,0.28894,0.78282,0.7967,0.99471,1,0.995,0.95661,0.22923,1.84933,0.83032,0.00034916,0.00034916,0.00034916
5,189.657,0.26233,0.73013,0.79181,0.99261,1,0.995,0.97464,0.16706,1.83708,0.76809,0.00022464,0.00022464,0.00022464
