epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.7686,0.52253,3.50631,1.17751,1,0.55214,0.97124,0.86204,0.24964,3.06326,1.19393,0.0002,0.0002,0.0002
2,75.3687,0.37994,2.65494,1.07592,1,0.69397,0.995,0.9236,0.30914,2.9913,1.22286,0.000336786,0.000336786,0.000336786
3,112.681,0.40877,1.128,1.16908,1,0.95928,0.995,0.95376,0.41307,2.57023,1.3098,0.000386396,0.000386396,0.000386396
4,149.82,0.38408,1.07064,1.16455,0.99444,1,0.995,0.96302,0.38071,2.34839,1.34495,0.00034883,0.00034883,0.00034883
5,187.153,0.37454,1.05037,1.1665,0.99424,1,0.995,0.98826,0.26586,2.30245,1.16816,0.000224087,0.000224087,0.000224087
