epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.3288,0.50016,1.72024,1.28091,0.96021,0.34981,0.95284,0.85031,0.34092,2.08495,1.1635,0.00028,0.00028,0.00028
2,108.142,0.3314,0.86433,1.14109,1,0.97683,0.99486,0.96004,0.28854,1.82567,1.14728,0.000465363,0.000465363,0.000465363
3,162.948,0.29908,0.78322,1.11175,1,0.91965,0.99284,0.93476,0.33599,1.78773,1.15751,0.000532136,0.000532136,0.000532136
4,217.019,0.31202,0.69424,1.12399,0.99766,1,0.995,0.96663,0.27041,1.54556,1.1115,0.000480319,0.000480319,0.000480319
5,273.768,0.25404,0.64113,1.09881,0.98284,1,0.99486,0.99199,0.20607,1.08328,1.08166,0.000309912,0.000309912,0.000309912
