epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.0255,0.53309,2.09432,1.00253,1,0.5485,0.995,0.92919,0.33978,2.41212,0.87611,0.00028,0.00028,0.00028
2,148.896,0.35483,1.05273,0.88201,0.9572,0.97234,0.99359,0.90037,0.42166,2.31551,1.03152,0.00046516,0.00046516,0.00046516
3,212.865,0.35427,0.99673,0.88992,1,0.99616,0.995,0.90747,0.37315,2.02565,0.92207,0.00053152,0.00053152,0.00053152
4,269.01,0.31278,0.85224,0.87216,0.99857,0.98551,0.99486,0.95461,0.30206,1.45287,0.8722,0.00047908,0.00047908,0.00047908
5,325.324,0.29056,0.79393,0.85332,0.99925,1,0.995,0.9713,0.27801,1.26168,0.8553,0.00030784,0.00030784,0.00030784
