epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.2676,0.4867,3.07593,0.89779,1,0.63392,0.99329,0.91112,0.25902,2.62949,0.88513,0.0002,0.0002,0.0002
2,105.621,0.37241,1.46673,0.8953,1,0.89656,0.995,0.91735,0.44094,2.58081,1.05394,0.00033684,0.00033684,0.00033684
3,146.078,0.35569,1.00338,0.88551,0.97647,1,0.995,0.93436,0.33771,2.31492,0.9403,0.00038656,0.00038656,0.00038656
4,186.658,0.34776,0.92881,0.87941,0.96181,1,0.99235,0.92081,0.36785,2.07889,0.88021,0.00034916,0.00034916,0.00034916
5,227.349,0.27886,0.87134,0.86427,0.99477,1,0.995,0.96058,0.29578,1.87549,0.9014,0.00022464,0.00022464,0.00022464
