epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.8147,0.4612,1.74328,1.25871,1,0.75058,0.995,0.91017,0.33048,2.06663,1.13048,0.00028,0.00028,0.00028
2,108.874,0.30263,0.93305,1.12407,1,0.85603,0.995,0.94342,0.30102,2.11301,1.1208,0.00046551,0.00046551,0.00046551
3,163.033,0.26776,0.82748,1.11093,0.98557,0.99023,0.99486,0.93356,0.28285,1.66316,1.13657,0.000532583,0.000532583,0.000532583
4,217.22,0.24393,0.74839,1.10986,0.99374,1,0.995,0.96359,0.24014,1.60854,1.08048,0.000481218,0.000481218,0.000481218
5,271.324,0.22659,0.68018,1.09037,0.99878,1,0.995,0.97627,0.23481,1.08378,1.06086,0.000311416,0.000311416,0.000311416
