epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.9055,0.47322,1.71351,1.16684,1,0.57213,0.995,0.93322,0.30294,2.00344,1.02908,0.00028,0.00028,0.00028
2,110.352,0.3317,0.87661,1.03953,0.98248,0.81268,0.9856,0.92357,0.2865,2.00958,1.07227,0.000465485,0.000465485,0.000465485
3,164.76,0.27584,0.76979,1.01547,0.98569,0.99831,0.99486,0.91174,0.38344,1.53228,1.12948,0.000532506,0.000532506,0.000532506
4,219.76,0.28538,0.67324,1.02,0.99539,1,0.995,0.97869,0.23722,1.44757,1.01278,0.000481062,0.000481062,0.000481062
5,274.742,0.25316,0.63236,0.98993,0.999,1,0.995,0.97138,0.26159,1.13683,1.01305,0.000311155,0.000311155,0.000311155
