epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.3639,0.45816,1.61599,1.28814,1,0.45738,0.99299,0.90186,0.35571,1.95272,1.1655,0.00028,0.00028,0.00028
2,110.126,0.3185,0.81391,1.15651,1,0.98509,0.99363,0.93737,0.2881,1.65181,1.15572,0.000465163,0.000465163,0.000465163
3,165.127,0.2735,0.72969,1.12274,0.98196,0.98551,0.98893,0.93883,0.27437,1.53022,1.13164,0.000531531,0.000531531,0.000531531
4,220.523,0.27686,0.61976,1.1064,0.98567,0.99665,0.99471,0.95914,0.26117,1.2448,1.10357,0.000479101,0.000479101,0.000479101
5,275.357,0.24437,0.59184,1.10429,0.99802,1,0.995,0.98931,0.21665,1.16348,1.08119,0.000307876,0.000307876,0.000307876
