epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.5864,0.47653,1.91813,1.01656,1,0.40854,0.99157,0.92039,0.19537,2.14083,0.90709,0.0002,0.0002,0.0002
2,81.7634,0.38119,0.96303,0.91966,1,0.7877,0.995,0.91949,0.25036,2.05365,0.92451,0.00033684,0.00033684,0.00033684
3,122.249,0.30278,1.80579,0.81929,1,0.98588,0.995,0.94258,0.33325,2.03329,0.96626,0.00038656,0.00038656,0.00038656
4,161.258,0.33485,0.81691,0.9051,0.98747,1,0.995,0.95195,0.32944,1.79225,1.04965,0.00034916,0.00034916,0.00034916
5,200.405,0.29759,0.73959,0.91441,0.99044,1,0.995,0.95943,0.26496,1.45306,0.98407,0.00022464,0.00022464,0.00022464
