epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.4344,0.47151,1.9898,1.01444,1,0.88468,0.99331,0.93345,0.29567,2.16591,0.9228,0.00028,0.00028,0.00028
2,110.459,0.30346,1.05989,0.87891,0.99521,1,0.995,0.91241,0.3184,2.19509,0.96516,0.00046574,0.00046574,0.00046574
3,165.17,0.28608,0.96944,0.89051,0.99371,0.97101,0.99345,0.92126,0.30302,1.84416,0.94066,0.00053328,0.00053328,0.00053328
4,220.084,0.272,0.89491,0.8807,0.97169,0.99476,0.9937,0.97498,0.22655,1.89019,0.89919,0.00048262,0.00048262,0.00048262
5,275.04,0.22791,0.76636,0.86381,0.9987,1,0.995,0.98023,0.21007,1.24166,0.84607,0.00031376,0.00031376,0.00031376
