epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.1061,0.57107,2.75785,0.69786,1,0.66339,0.97398,0.84545,0.30841,3.12073,0.66694,0.0002,0.0002,0.0002
2,81.1381,0.424,1.37093,0.6258,1,0.91945,0.98975,0.9217,0.38713,2.74702,0.67301,0.000336735,0.000336735,0.000336735
3,123.614,0.41272,1.25428,0.63795,0.99738,1,0.995,0.93169,0.29548,2.369,0.64174,0.00038624,0.00038624,0.00038624
4,178.739,0.35854,1.06489,0.62393,0.9697,0.96994,0.99324,0.95466,0.27885,2.50948,0.61357,0.000348515,0.000348515,0.000348515
5,220.623,0.32671,1.01338,0.60364,0.99601,1,0.995,0.94285,0.26019,2.11132,0.61938,0.00022356,0.00022356,0.00022356
