epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.0681,0.50131,1.68959,1.22518,1,0.98832,0.995,0.89815,0.3583,1.81828,1.26975,0.00028,0.00028,0.00028
2,110.976,0.30537,0.87946,1.08268,1,0.98878,0.995,0.95009,0.27178,1.90325,1.10564,0.000465485,0.000465485,0.000465485
3,166.025,0.31636,0.75963,1.07916,0.96639,1,0.99059,0.94504,0.31009,1.39163,1.07584,0.000532506,0.000532506,0.000532506
4,220.916,0.29166,0.71647,1.05565,0.99672,0.98551,0.99458,0.97219,0.23122,1.72195,1.04115,0.000481062,0.000481062,0.000481062
5,276.166,0.24323,0.64856,1.03509,0.99866,1,0.995,0.98344,0.18341,1.07,1.027,0.000311155,0.000311155,0.000311155
