epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.0565,0.52444,1.59855,1.02493,1,0.97761,0.99445,0.94845,0.26853,1.65084,0.90903,0.00028,0.00028,0.00028
2,107.906,0.3572,0.85935,0.91516,0.98402,0.89244,0.99225,0.92498,0.32766,1.82053,0.97248,0.000465108,0.000465108,0.000465108
3,161.485,0.31082,0.76856,0.90227,0.99774,1,0.995,0.9224,0.31682,1.54987,0.97819,0.000531362,0.000531362,0.000531362
4,215.229,0.28262,0.72047,0.8974,1,0.98206,0.99472,0.93775,0.27834,1.31508,0.89825,0.000478761,0.000478761,0.000478761
5,269.073,0.29045,0.66771,0.89278,0.99877,1,0.995,0.98037,0.21384,0.99443,0.85652,0.000307307,0.000307307,0.000307307
